state,sum(generation)
AK,5943530
AL,142955133
AR,60230137
AZ,108608535
CA,196727116
CO,56737727
CT,44123575
DC,218241
DE,4039976
FL,244401038
GA,126530745
HI,9188089
IA,66120266
ID,16948581
IL,181859377
IN,94565161
KS,56745956
KY,70554259
LA,98061967
MA,19366993
MD,39719296
ME,10952775
MI,116045383
MN,59628025
MO,77815983
MS,68713324
MT,24466637
NC,131262686
ND,42705232
NE,38644643
NH,17434999
NJ,61386527
NM,35271296
NV,41880191
NY,125226026
OH,123335613
OK,80564122
OR,61081837
PA,241648365
RI,8035017
SC,99924409
SD,17834631
TN,81478887
TX,483561769
US-TOTAL,4115540155
UT,42656775
VA,94309019
VT,2147738
WA,109122726
WI,65478679
WV,65630564
WY,43650676
